Graphium ambrosiigerum	Graphium ambrosiigerum Hedgc. (1906) [MB#214643]	214643	Hedgc.	1906	Legitimate
Graphium angamosense	Graphium angamosense Matsush., Matsushima Mycol. Mem. 8: 21 (1995) [MB#413133]	413133	Matsush.	1995	Legitimate
Graphium anomalum	Stilbum anomalum Berk., Mag. Zool. Bot. 1: 49 (1837) [MB#154044]	214936	(Berk.) Sacc.	1886	Legitimate
Graphium anomalum	Graphium anomalum Massee, Bull. Misc. Inform. Kew 1908: 218 (1908) [MB#214843]	214843	Massee	1908	Illegitimate
Graphium aphthosae	Graphium aphthosae Alstrup & D. Hawksw., Meddel. Grønland, Biosci. 31: 37 (1990) [MB#125565]	125565	Alstrup & D. Hawksw.	1990	Legitimate
Graphium aquaticum	Graphium aquaticum Hyang B. Lee, Mycobiology 53 (3): 323 (2025) [MB#903142]	903142	Hyang B. Lee	2025	Legitimate
Graphium aspergilloides	Papilionospora aspergilloides (Speg.) V. Rao & B. Sutton, Kavaka 3: 23 (1976) [MB#319155]	202988	Speg.	1879	Legitimate
Graphium aterrimum	Stilbocrea aterrima (Welw. & Curr.) Seifert, CBS Biodiversity Series 12: 302 (2013) [MB#801094]	202916	(Welw. & Curr.) Sacc.	1886	Legitimate
Graphium atrovirens	Graphium atrovirens Speg. (?) [MB#202731]	202731	Speg.		Legitimate
Graphium atrovirens	Graphium atrovirens Hedgc., Annual Rep. Missouri Bot. Gard. 17: 94 (1906) [MB#203047]	203047	Hedgc.	1906	Legitimate
Graphium atrum	Phaeostilbella atra (Desm.) Höhn., Ber. Deutsch. Bot. Ges. 37: 153 (1919) [MB#257689]	203033	Desm.	1848	Legitimate
Graphium aureum	Graphium aureum Hedgc. (1906) [MB#212408]	212408	Hedgc.	1906	Legitimate
Graphium bambusae	Helotium bambusae Höhn., Ergebnisse der Botanischen Expedition der Kaiserlichen Akademie der Wissenschaften nach Süd-Brasilien 1901. II. Band. Thallophyta und Bryophyta. Eumycetes et Myxomycetes: 33 (1907) [MB#231736]	208496	(Höhn.) Sacc.	1913	Legitimate
Graphium basitruncatum	Stilbum basitruncatum Matsush., Microfungi of the Solomon Islands and Papua-New Guinea: 62 (1971) [MB#324204]	464792	(Matsush.) Seifert & G. Okada	2000	Legitimate
Graphium berkeleyi	Graphium berkeleyi Mont., Ann. Sci. Nat., Bot. 8: 303 (1857) [MB#208881]	208881	Mont.	1857	Legitimate
Graphium bicolor	Stilbum bicolor Pers., Synopsis methodica fungorum: 682 (1801) [MB#169734]	213458	(Pers.) Sacc.	1886	Legitimate
Graphium bolivarii	Graphium bolivarii Riofrio (1929) [MB#213616]	213616	Riofrio	1929	Legitimate
Graphium brachiatum	Graphium brachiatum Jankow. & Gumulak, Mycologia 115 (3): 369 (2023) [MB#844907]	844907	Jankow. & Gumulak	2023	Legitimate
Graphium bulbicola	Graphium bulbicola Henn., Hedwigia 44: 177 (1905) [MB#213532]	213532	Henn.	1905	Legitimate
Graphium caliciiforme	Graphium caliciiforme Maire, Bull. Soc. Mycol. France 46: 243 (1930) [MB#259368]	259368	Maire	1930	Legitimate
Graphium calicioides	Graphium calicioides (Fr.) Cooke & Massee, Grevillea 16 (77): 11 (1887) [MB#213689]	213689	(Fr.) Cooke & Massee	1887	Legitimate
Graphium carbonarium	Graphium carbonarium Paciura, Z.W. de Beer, X.D. Zhou & M.J. Wingf., Fungal Diversity 40 (1): 85 (2010) [MB#512644]	512644	Paciura, Z.W. de Beer, X.D. Zhou & M.J. Wingf.	2010	Legitimate
Graphium cartwrightii	Pachnocybe ferruginea Berk., The English Flora 5 (2): 334 (1836) [MB#120454]	286744	J.F.H. Beyma	1939	Legitimate
Graphium cavipes	Graphium cavipes (Oudem.) Sacc., Syll. Fung. 4: 619 (1886) [MB#213853]	213853	(Oudem.) Sacc.	1886	Legitimate
Graphium ceratostomoides	Graphium ceratostomoides Speg., Anales Soc. Ci. Argent. 10 (4): 165 (1880) [MB#213747]	213747	Speg.	1880	Legitimate
Graphium chlorocephalum	Sporocybe chlorocephala Speg., Anales Soc. Ci. Argent. 13 (1): 31 (1882) [MB#185583]	151639	(Speg.) Sacc.	1886	Legitimate
Graphium cicadicola	Graphium cicadicola Speg., Anales Mus. Nac. Hist. Nat. Buenos Aires ser. 3, 13: 446 (1911) [MB#151953]	151953	Speg.	1911	Legitimate
Graphium cinerellum	Graphium cinerellum Speg., Die Pilze des Weinstockes: 55 (1878) [MB#152113]	152113	Speg.	1878	Legitimate
Graphium clavaeforme	Graphium clavaeforme Preuss, Linnaea 24: 133 (1851) [MB#165562]	165562	Preuss	1851	Legitimate
Graphium claviforme	Graphium clavaeforme Preuss, Linnaea 24: 133 (1851) [MB#165562]	493769	Preuss	1851	Orthographic variant
Graphium clavisporum	Pseudocercospora vitis (Lév.) Speg., Anales Mus. Nac. Hist. Nat. Buenos Aires ser. 3, 13: 438 (1911) [MB#187930]	164935	Berk. & Cooke	1875	Legitimate
Graphium clavula	Stilbum clavula Berk. & Broome, J. Linn. Soc., Bot. 14 (73 & 74): 97 (1875) [MB#157313]	165150	(Berk. & Broome) Sacc.	1886	Legitimate
Graphium clavulatum	Gracilistilbella clavulata (Mont.) Seifert, Stud. Mycol. 45: 18 (2000) [MB#464784]	164539	(Mont.) Sacc.	1886	Legitimate
Graphium coffeae	Graphium coffeae Zimm., Centralbl. Bakteriol. Parasitenk. 7: 145 (1901) [MB#164029]	164029	Zimm.	1901	Legitimate
Graphium comatrichoides	Graphium comatrichoides Massee & E.S. Salmon, Coproph. fungi: 88 (1902) [MB#164400]	164400	Massee & E.S. Salmon	1902	Legitimate
Graphium coralloides	Graphium coralloides (Berk. & M.A. Curtis) Höhn.: 894 (1909) [MB#567633]	567633	(Berk. & M.A. Curtis) Höhn.	1909	Legitimate
Graphium coryneoides	Gracilistilbella clavulata (Mont.) Seifert, Stud. Mycol. 45: 18 (2000) [MB#464784]	175782	(Ellis & Everh.) Sacc.	1886	Legitimate
Graphium cuneiferum	Parascedosporium putredinis (Corda) Lackner & de Hoog, IMA Fungus 2 (1): 44 (2011) [MB#519652]	297962	(Berk. & Broome) E.W. Mason & M.B. Ellis	1953	Legitimate
Graphium curtisii	Stilbocrea aterrima (Welw. & Curr.) Seifert, CBS Biodiversity Series 12: 302 (2013) [MB#801094]	507773	Sacc.	1886	Legitimate
Graphium curvulum	Graphium curvulum Berk. & Broome, J. Linn. Soc., Bot. 14 (73 & 74): 100 (1875) [MB#175884]	175884	Berk. & Broome	1875	Legitimate
Graphium cylindricum	Graphium cylindricum Petch, Ann. Roy. Bot. Gard. (Peradeniya) 9 (3): 327 (1925) [MB#176073]	176073	Petch	1925	Legitimate
Graphium desmazieri	Graphium desmazieri Sacc.: tab. 394 (1878) [MB#154350]	154350	Sacc.	1878	Legitimate
Graphium dubautiae	Graphium dubautiae F. Stevens & Weedon, Bull. Bern. Bishop Mus. 19: 159 (1925) [MB#154290]	154290	F. Stevens & Weedon	1925	Legitimate
Graphium dulcamarae	Graphium dulcamarae Sacc., Mem. Mat. Fis. Soc. Ital. Sci. Modena: 364 (1908) [MB#168735]	168735	Sacc.	1908	Legitimate
Graphium dulcamarae	Graphium fissum var. dulcamarae Sacc., Syll. Fung. 4: 610 (1886) [MB#179890]	154909	(Sacc.) Lindau	1908	Legitimate
Graphium erubescens	Leptographium erubescens (Math.-Käärik) M.L. Yin, Z.W. de Beer & M.J. Wingf., MycoKeys 60: 105 (2019) [MB#823577]	297963	Math.-Käärik	1953	Legitimate
Graphium eumorphum	Graphium eumorphum (Sacc.) Sacc., Syll. Fung. 4: 611 (1886) [MB#168567]	168567	(Sacc.) Sacc.	1886	Legitimate
Graphium euwallaceae	Graphium euwallaceae Twizeyimana, S.C. Lynch & Eskalen, Mycologia 108 (2): 322 (2016) [MB#813074]	813074	Twizeyimana, S.C. Lynch & Eskalen	2016	Legitimate
Graphium explicatum	Graphium explicatum Berk. & M.A. Curtis, Grevillea 3 (27): 101 (1875) [MB#157802]	157802	Berk. & M.A. Curtis	1875	Legitimate
Graphium fabiforme	Graphium fabiforme Cruywagen & Z.W. de Beer, Persoonia 25: 69 (2010) [MB#518678]	518678	Cruywagen & Z.W. de Beer	2010	Legitimate
Graphium fasciculatum	Graphium fasciculatum Sacc., Mycoth. Ven. Cent. VIII: no. 739 (1876) [MB#158386]	158386	Sacc.	1876	Legitimate
Graphium fifilense	Graphium fifilense Sacc. (1917) [MB#567145]	567145	Sacc.	1917	Orthographic variant
Graphium fifilensis	Graphium fifilensis Sacc., Atti Mem. Reale Accad. Sci. Lett. Arti, Padova 33: 194 (1917) [MB#158213]	158213	Sacc.	1917	Legitimate
Graphium filfilense	Graphium filfilensis Sacc.: 194 (1917) [MB#567144]	810564	Sacc.	1917	Legitimate
Graphium filfilensis	Graphium filfilensis Sacc.: 194 (1917) [MB#567144]	567144	Sacc.	1917	Legitimate
Graphium fimbriasporum	Graphium fimbriasporum (M. Morelet) K. Jacobs, Kirisits & M.J. Wingf., Mycologia 95 (4): 719 (2003) [MB#488913]	488913	(M. Morelet) K. Jacobs, Kirisits & M.J. Wingf.	2003	Legitimate
Graphium fimbriisporum	Graphium fimbriasporum (M. Morelet) K. Jacobs, Kirisits & M.J. Wingf., Mycologia 95 (4): 719 (2003) [MB#488913]	309054	(M. Morelet) K. Jacobs, Kirisits & M.J. Wingf.	2006	Orthographic variant
Graphium fissum	Graphium fissum Preuss, Linnaea 24: 133 (1851) [MB#158307]	158307	Preuss	1851	Legitimate
Graphium fissum subsp. clavulatum	Graphium fissum subsp. clavulatum Sacc., Ann. Mycol. 10 (3): 321 (1912) [MB#503948]	503948	Sacc.	1912	Legitimate
Graphium fissum subsp. fissum	Graphium fissum subsp. fissum (?) [MB#520950]	520950			Legitimate
Graphium fissum var. dulcamarae	Graphium fissum var. dulcamarae Sacc., Syll. Fung. 4: 610 (1886) [MB#179890]	179890	Sacc.	1886	Legitimate
Graphium fissum var. fissum	Graphium fissum var. fissum (?) [MB#423281]	423281			Legitimate
Graphium flavovirens	Periconia flavovirens Alb. & Schwein., Conspectus Fungorum in Lusatiae superioris: 357, t. 4:7 (1805) [MB#139988]	189883	(Alb. & Schwein.) Sacc.	1886	Legitimate
Graphium flexuosum	Graphium flexuosum (Massee) Sacc., Syll. Fung. 4: 611 (1886) [MB#189611]	189611	(Massee) Sacc.	1886	Legitimate
Graphium fragrans	Graphium fragrans Math.-Käärik, J. Anat. Physiol. Norm. Pathol. Homme Anim. Paris: 60 (1954) [MB#297964]	297964	Math.-Käärik	1954	Legitimate
Graphium fructicola	Graphium fructicola Marchal & É.J. Marchal, Bull. Soc. Roy. Bot. Belgique: 26 (1921) [MB#185379]	185379	Marchal & É.J. Marchal	1921	Legitimate
Graphium fuegianum	Graphium fuegianum Speg., Bol. Acad. Nac. Ci. 11 (2): 307 (1888) [MB#185264]	185264	Speg.	1888	Legitimate
Graphium geranii	Phacellium geranii (Voglino) U. Braun, Nova Hedwigia 56 (3-4): 437 (1993) [MB#360621]	186850	Voglino	1904	Legitimate
Graphium giganteum	Holwaya mucida (Schulzer) Korf & Abawi, Canad. J. Bot. 49 (11): 1880 (1971) [MB#315225]	186932	(Peck) Sacc.	1886	Legitimate
Graphium giganteum	Graphium giganteum Speg., Anales Soc. Ci. Argent. 22 (4): 219 (1886) [MB#186824]	186824	Speg.	1886	Illegitimate
Graphium glaucocephalum	Periconia glaucocephala Corda, Icones fungorum hucusque cognitorum 3: 13, t. 2:37 (1839) [MB#250383]	184176	(Corda) Sacc.	1886	Legitimate
Graphium glaucum	Graphium glaucum Preuss, Linnaea 24: 133 (1851) [MB#183888]	183888	Preuss	1851	Legitimate
Graphium glaucum subsp. glaucum	Graphium glaucum subsp. glaucum (?) [MB#423546]	423546			Legitimate
Graphium glaucum subsp. umbellatarum	Graphium glaucum subsp. umbellatarum Ces. (?) [MB#192458]	192458	Ces.		Legitimate
Graphium gordoniae	Graphium gordoniae Sawada, Special Publ. Coll. Agric. Natl. Taiwan Univ. 8: 233 (1959) [MB#331511]	331511	Sawada	1959	Legitimate
Graphium gracile	Graphium gracile Peck, Rep. (Annual) New York State Mus. Nat. Hist. 34: 50 (1883) [MB#192656]	192656	Peck	1883	Legitimate
Graphium graminum	Cephalotrichum microsporum (Sacc.) P.M. Kirk, Kew Bull. 38 (4): 578 (1984) [MB#106662]	192295	Cooke & Massee	1887	Legitimate
Graphium griseum	Cephalotrichum purpureofuscum (Schwein.) S. Hughes, Canad. J. Bot. 36 (6): 744 (1958) [MB#294131]	192558	(Berk.) Sacc.	1886	Legitimate
